nivel_escolar,duracion_estimada_min,numero_paginas,numero_items,porcentaje_visual,densidad_simbolos,prop_operaciones_aritmeticas,prop_fracciones_decimales,prop_variables_algebraicas,prop_ecuaciones,prop_patrones_funciones,prop_figuras_geometricas,prop_medicion_angulos,prop_coordenadas,prop_tablas_graficos,prop_estadistica_descriptiva,prop_probabilidad,prop_contexto_problemas,dificultad_estimada,ejemplos_resueltos,elementos_visuales,indice_interactividad,categoria_curricular
6,18,8,12,57.55,0.4622,0.3312,0.363,0.4737,0.1734,0.504,0.5501,0.1525,0.5592,0.5043,0.7533,0.1681,0.6702,1,4,10,0.6126,3
7,31,19,16,54.61,0.3745,0.6661,0.2946,0.4586,0.1343,0.5453,0.4029,0.3657,0.1249,0.8056,0.4181,0.3327,0.4132,2,2,7,0.2971,0
7,44,10,19,51.96,0.3922,0.5559,0.7748,0.1582,0.2848,0.4852,0.3147,0.1741,0.0558,0.4495,0.16,0.0819,0.4671,2,3,8,0.2622,0
6,42,5,23,46.27,0.4041,0.2963,0.2558,0.4227,0.3638,0.1546,0.2171,0.1565,0.3757,0.4095,0.1777,0.5511,0.3064,2,4,5,0.3613,1
6,14,1,13,41.21,0.2672,0.7383,0.4718,0.0643,0.2074,0.2412,0.4456,0.8143,0.6492,0.1616,0.1496,0.0513,0.5117,1,4,5,0.2148,2
10,50,6,18,49.68,0.4204,0.3605,0.3902,0.1425,0.3996,0.1238,0.205,0.2554,0.3598,0.6629,0.7961,0.6104,0.4093,2,3,9,0.1442,3
8,23,10,16,46.52,0.3511,0.4966,0.288,0.4985,0.2056,0.5565,0.0783,0.3289,0.0626,0.6177,0.5183,0.4827,0.462,2,3,5,0.6088,3
10,33,13,20,40.63,0.3126,0.6338,0.4975,0.0068,0.0918,0.2436,0.4127,0.4782,0.4327,0.3584,0.3615,0.2845,0.5083,2,4,4,0.311,0
11,49,13,29,58.89,0.4545,0.3511,0.5462,0.3691,0.2481,0.171,0.5899,0.2194,0.564,0.2251,0.0709,0.4008,0.4952,3,4,11,0.304,2
9,15,11,13,74.9,0.3886,0.2015,0.4696,0.4125,0.4707,0.7889,0.6217,0.5163,0.6374,0.2438,0.1395,0.1583,0.3823,2,3,8,0.7097,1
5,25,10,15,50.91,0.409,0.471,0.7183,0.2732,0.2797,0.0885,0.2794,0.4585,0.1109,0.2605,0.0963,0.4381,0.3409,2,1,7,0.286,0
6,28,4,7,29.87,0.5352,0.2362,0.454,0.372,0.7456,0.5989,0.1534,0.1927,0.2417,0.2142,0.1852,0.1756,0.2698,1,2,5,0.4725,1
12,39,18,18,73.07,0.4711,0.3736,0.554,0.1115,0.1566,0.1699,0.1723,0.4329,0.2086,0.5233,0.5708,0.5359,0.3153,3,1,9,0.6277,3
8,33,12,19,30.77,0.6911,0.7378,0.5023,0.611,0.3315,0.168,0.2855,0.1246,0.2964,0.1422,0.0778,0.3024,0.4894,2,3,3,0.3391,0
12,36,10,23,54.79,0.4799,0.3993,0.4148,0.4267,0.4289,0.236,0.2199,0.4269,0.0871,0.3357,0.2495,0.0803,0.5363,3,4,7,0.4129,0
8,34,13,19,59.27,0.6163,0.2853,0.5433,0.5663,0.6227,0.504,0.2321,0.0902,0.2988,0.5748,0.794,0.242,0.2652,3,2,6,0.4161,1
6,41,10,16,57.42,0.3959,0.3667,0.5562,0.7018,0.253,0.2484,0.542,0.4698,0.3906,0.1317,0.1648,0.5991,0.4035,2,3,2,0.1999,0
12,45,15,28,69.2,0.3591,0.121,0.1738,0.4731,0.0766,0.228,0.6289,0.5765,0.1856,0.36,0.3828,0.1263,0.5074,3,5,10,0.3474,2
5,49,10,22,55.56,0.5721,0.3921,0.5275,0.179,0.2073,0.2228,0.4885,0.1197,0.0382,0.5896,0.6048,0.4325,0.4461,2,2,7,0.5421,3
11,29,10,16,75.64,0.2416,0.4527,0.6035,0.4703,0.0866,0.1895,0.6512,0.7133,0.746,0.203,0.2739,0.0819,0.6421,2,5,9,0.4521,2
8,39,22,25,64.06,0.5646,0.5368,0.1792,0.3197,0.2883,0.0961,0.5295,0.5694,0.5784,0.2139,0.2356,0.3431,0.4514,3,2,9,0.265,2
5,16,8,11,60.14,0.4399,0.9106,0.4697,0.1909,0.2122,0.3913,0.5574,0.4527,0.1717,0.1235,0.3041,0.3698,0.7129,1,4,10,0.4156,0
12,41,10,22,53.82,0.4186,0.307,0.5092,0.2791,0.4014,0.4284,0.5208,0.1824,0.1065,0.3321,0.2527,0.073,0.2205,3,4,7,0.2461,1
11,55,17,24,59.2,0.6618,0.2959,0.1029,0.6092,0.7282,0.8387,0.5083,0.4509,0.1343,0.2777,0.5264,0.3854,0.5445,4,3,7,0.6173,1
7,36,16,18,68.8,0.2779,0.1882,0.5782,0.1961,0.0562,0.3468,0.3296,0.1296,0.3073,0.4321,0.7351,0.0874,0.3283,2,4,6,0.16,3
6,36,11,19,77.6,0.2911,0.2678,0.1496,0.078,0.266,0.593,0.667,0.6261,0.3003,0.0567,0.3151,0.1063,0.3526,2,3,9,0.2442,2
10,35,19,14,18.63,0.6124,0.581,0.4136,0.3337,0.188,0.4628,0.0272,0.1077,0.1447,0.3558,0.1525,0.5321,0.4861,3,3,3,0.3004,3
12,30,21,21,69.39,0.1037,0.0583,0.5037,0.1641,0.1412,0.3187,0.6975,0.697,0.4447,0.2638,0.0445,0.2248,0.5279,3,3,8,0.4357,2
11,60,24,28,31.8,0.4855,0.6414,0.4014,0.5384,0.2676,0.1502,0.0901,0.3102,0.1083,0.1871,0.407,0.3361,0.5049,4,5,7,0.1922,0
12,42,19,20,54.82,0.2655,0.3953,0.5042,0.1854,0.2469,0.2481,0.135,0.2399,0.2532,0.268,0.0697,0.1897,0.5303,3,4,7,0.141,0
9,32,6,17,61.26,0.1637,0.2241,0.3785,0.1898,0.0769,0.1483,0.2895,0.4539,0.2363,0.5254,0.5641,0.6974,0.6104,2,3,10,0.1949,3
12,45,16,27,51.31,0.468,0.5398,0.3593,0.6537,0.2403,0.6766,0.1754,0.3693,0.5726,0.5088,0.2282,0.2058,0.4733,3,1,7,0.4553,1
9,32,14,15,31.31,0.4643,0.8942,0.68,0.122,0.2774,0.2551,0.169,0.3705,0.6804,0.3623,0.2634,0.0531,0.359,2,5,5,0.1102,0
6,29,15,21,91.86,0.2781,0.1692,0.3438,0.2862,0.2424,0.1352,0.7109,0.7742,0.3958,0.5592,0.4604,0.2933,0.2997,2,4,11,0.2351,2
5,27,7,18,49.1,0.5535,0.3662,0.5037,0.9656,0.3118,0.46,0.2782,0.3074,0.3152,0.3479,0.4344,0.2484,0.5084,2,5,10,0.0857,1
5,20,13,12,64.1,0.0953,0.0553,0.5581,0.0888,0.046,0.1412,0.499,0.4286,0.0755,0.6267,0.4328,0.7568,0.6986,2,4,6,0.4369,3
5,30,6,17,39.13,0.4558,0.9786,0.5314,0.3174,0.1258,0.1502,0.2952,0.1153,0.2672,0.297,0.0109,0.1455,0.4575,2,2,6,0.2389,0
11,22,17,18,64.7,0.3762,0.7729,0.5212,0.1161,0.0478,0.3979,0.2922,0.2996,0.0581,0.6114,0.5036,0.1809,0.5803,3,4,8,0.447,0
6,22,8,13,27.91,0.4863,0.7499,0.3573,0.0885,0.072,0.236,0.1945,0.1983,0.4048,0.225,0.2052,0.2301,0.2568,2,3,5,0.2391,0
11,31,13,14,78.96,0.1931,0.2487,0.2218,0.0918,0.2718,0.0914,0.9528,0.6509,0.6842,0.166,0.0731,0.2169,0.4628,3,2,9,0.2216,2
7,38,10,15,51.22,0.4651,0.1873,0.2209,0.5455,0.5186,0.4968,0.1903,0.2654,0.4878,0.4329,0.4337,0.1127,0.5108,2,3,5,0.3917,1
8,43,16,23,32.78,0.2626,0.3524,0.407,0.2474,0.4167,0.4773,0.1626,0.1551,0.2439,0.3669,0.4605,0.7196,0.5426,3,3,4,0.0826,3
10,35,13,21,68.79,0.3149,0.2085,0.47,0.0218,0.2611,0.3961,0.3113,0.3978,0.2271,0.9659,0.3631,0.6058,0.5119,3,4,9,0.7469,3
6,37,13,14,52.58,0.706,0.3836,0.3398,0.8504,0.6397,0.3698,0.2348,0.1134,0.6851,0.4039,0.1783,0.1162,0.6004,3,3,4,0.2978,1
6,47,4,20,77.94,0.4608,0.1592,0.3541,0.3012,0.3038,0.3261,0.3957,0.7498,0.492,0.2814,0.138,0.2238,0.4858,2,3,11,0.688,2
10,24,10,21,28.59,0.5451,0.6698,0.4968,0.1867,0.1356,0.1787,0.3085,0.3629,0.1736,0.1063,0.3598,0.1667,0.3194,2,1,2,0.2586,0
6,34,17,22,66.34,0.3499,0.3271,0.0827,0.2721,0.1634,0.3991,0.4013,0.1713,0.2705,0.8391,0.7466,0.5216,0.5082,2,2,9,0.4094,3
12,42,18,17,59.06,0.306,0.6045,0.2777,0.2768,0.4461,0.3319,0.0966,0.0885,0.295,0.7046,0.7524,0.3111,0.6325,3,4,8,0.671,3
12,35,22,27,41.79,0.541,0.4676,0.5718,0.4956,0.847,0.2745,0.1015,0.0732,0.7642,0.4812,0.3244,0.0976,0.2663,4,4,6,0.3422,1
9,54,18,25,42.33,0.5932,0.2927,0.2084,0.6698,0.718,0.5918,0.2576,0.2359,0.7421,0.2529,0.2713,0.218,0.3309,3,3,9,0.7524,1
8,38,23,19,55.09,0.6818,0.4356,0.2045,0.5655,0.7271,0.2318,0.0738,0.1532,0.2359,0.8638,0.6125,0.3662,0.7866,3,3,5,0.2335,3
9,29,8,14,29.99,0.4932,0.3852,0.212,0.7674,0.4797,0.4862,0.3094,0.1562,0.1393,0.2498,0.2344,0.3162,0.53,2,2,5,0.5013,1
6,40,24,20,31.64,0.4454,0.7124,0.6709,0.2685,0.6126,0.1179,0.3822,0.164,0.5525,0.2266,0.5581,0.277,0.5055,4,4,3,0.3379,0
11,51,15,26,42.85,0.3674,0.6928,0.622,0.2378,0.2951,0.0359,0.1966,0.2593,0.1676,0.5995,0.1943,0.2918,0.4532,3,3,7,0.3366,0
6,42,15,19,54.53,0.5062,0.7988,0.6458,0.0852,0.3114,0.2808,0.481,0.5029,0.1385,0.3186,0.3051,0.2305,0.5525,2,2,5,0.1151,0
10,49,11,23,34.22,0.5425,0.6344,0.124,0.5982,0.3249,0.6014,0.2522,0.16,0.2001,0.1191,0.3217,0.2612,0.5163,2,2,5,0.2834,1
9,45,11,17,27.77,0.3286,0.2595,0.3348,0.2649,0.1946,0.1957,0.166,0.1029,0.3196,0.2524,0.3487,0.447,0.526,2,3,6,0.3372,3
12,39,16,20,62.21,0.412,0.5322,0.6402,0.5408,0.631,0.558,0.5105,0.3486,0.4935,0.2456,0.3538,0.2533,0.4946,4,2,7,0.7185,1
8,37,15,24,37.79,0.4873,0.8462,0.6207,0.1305,0.1874,0.2948,0.0551,0.2264,0.1003,0.6173,0.2284,0.0633,0.4454,2,4,7,0.4468,0
6,31,10,17,46.17,0.6008,0.3253,0.5032,0.6311,0.8863,0.4623,0.2234,0.078,0.0847,0.1696,0.2822,0.0649,0.3239,2,3,7,0.3832,1
6,21,4,14,78.55,0.2748,0.2689,0.5046,0.2226,0.25,0.4874,0.6338,0.6496,0.2549,0.5908,0.297,0.3553,0.444,1,3,10,0.1472,2
6,19,11,14,27.65,0.5362,0.7022,0.8315,0.2023,0.478,0.5504,0.2168,0.1399,0.0487,0.3666,0.4635,0.1508,0.4447,2,4,6,0.4746,0
12,47,16,29,72.27,0.5633,0.5686,0.4896,0.4162,0.3679,0.5945,0.6287,0.4469,0.2516,0.202,0.4528,0.035,0.6698,3,6,10,0.3577,1
12,34,14,24,44.22,0.409,0.2626,0.1619,0.3657,0.4387,0.5075,0.5378,0.5608,0.4335,0.1352,0.2181,0.2361,0.3751,3,2,8,0.5407,2
12,43,9,20,35.87,0.2944,0.2605,0.221,0.1993,0.2193,0.5259,0.3531,0.317,0.3001,0.1979,0.1956,0.0916,0.5062,2,2,4,0.3026,2
10,51,18,29,47.18,0.4505,0.1474,0.1749,0.6938,0.5175,0.6444,0.321,0.2279,0.1573,0.4464,0.0933,0.1221,0.5606,3,4,9,0.4372,1
10,33,18,22,34.53,0.5123,0.6155,0.7075,0.3443,0.3001,0.224,0.0922,0.1936,0.2686,0.1839,0.1842,0.1994,0.5203,3,5,7,0.2487,0
12,47,22,23,73.69,0.5538,0.2806,0.1554,0.4068,0.2069,0.3779,0.3212,0.7595,0.5198,0.622,0.4918,0.581,0.5585,4,6,11,0.8397,3
5,31,11,20,50.93,0.3654,0.4443,0.4669,0.3176,0.1839,0.1623,0.0716,0.5475,0.2827,0.5663,0.543,0.8058,0.6031,2,3,10,0.4426,3
12,44,22,23,26.05,0.5363,0.4901,0.4535,0.3844,0.5482,0.3936,0.2182,0.2808,0.2123,0.2021,0.2302,0.5286,0.4046,3,2,6,0.1946,0
8,45,10,25,74.3,0.3973,0.823,0.5497,0.2548,0.1243,0.0461,0.4103,0.5219,0.2332,0.5305,0.3318,0.1899,0.6233,3,4,8,0.2943,0
6,32,13,23,76.6,0.358,0.4946,0.1795,0.2597,0.2592,0.1375,0.391,0.5755,0.3463,0.3943,0.1726,0.4808,0.2993,2,2,11,0.5297,2
5,37,12,15,43.88,0.2666,0.5665,0.3769,0.1368,0.1676,0.2986,0.4521,0.3168,0.6642,0.4207,0.3427,0.264,0.6945,2,2,8,0.4275,2
7,33,12,20,75.86,0.3601,0.3186,0.3396,0.2725,0.2131,0.1155,0.4591,0.2854,0.1479,0.8801,0.2913,0.3701,0.5065,2,4,12,0.4046,3
9,38,13,24,61.4,0.5571,0.3522,0.5248,0.3566,0.384,0.1395,0.4475,0.1248,0.1833,0.2935,0.3342,0.1851,0.4665,3,1,4,0.4407,0
10,50,19,21,43.88,0.5569,0.5155,0.5396,0.3032,0.2849,0.2259,0.372,0.4508,0.6058,0.1902,0.064,0.2537,0.6339,3,4,5,0.3951,0
12,40,15,23,63.95,0.3898,0.7046,0.4288,0.1125,0.1951,0.4735,0.3843,0.4544,0.0522,0.3689,0.2966,0.1726,0.3695,3,2,9,0.5434,0
7,48,14,27,62.48,0.4493,0.2839,0.4544,0.5412,0.3957,0.5021,0.4334,0.4819,0.4206,0.4775,0.332,0.2697,0.3273,3,0,11,0.4944,1
9,53,22,23,53.92,0.3392,0.585,0.2469,0.5851,0.1363,0.5266,0.248,0.1724,0.4411,0.6906,0.6059,0.5099,0.4083,4,4,9,0.4188,3
5,40,11,21,59.47,0.4324,0.2596,0.2645,0.3342,0.1215,0.1966,0.0704,0.3894,0.0907,0.6373,0.4889,0.4903,0.4678,2,2,8,0.6865,3
11,49,11,24,50.03,0.6081,0.6128,0.3115,0.671,0.6286,0.4518,0.1944,0.2811,0.1262,0.3461,0.2921,0.0387,0.3659,3,4,5,0.4429,1
12,42,17,29,35.61,0.6017,0.5545,0.4127,0.6573,0.6281,0.703,0.1187,0.3271,0.1962,0.1136,0.3001,0.204,0.526,4,3,4,0.4039,1
5,39,20,16,55.59,0.2818,0.7788,0.6629,0.1843,0.2383,0.2099,0.4921,0.2143,0.2891,0.0559,0.1017,0.3482,0.283,3,4,9,0.2615,0
11,54,17,28,37.91,0.3186,0.8143,0.3983,0.0175,0.2043,0.072,0.3653,0.5388,0.3893,0.2126,0.0331,0.606,0.3624,3,3,3,0.5005,0
6,48,9,26,67.97,0.4851,0.5915,0.0826,0.239,0.483,0.1392,0.2465,0.2468,0.315,0.5006,0.6003,0.4169,0.5386,2,3,11,0.4852,3
7,22,8,15,31.3,0.5976,0.5788,0.4387,0.1842,0.5751,0.4805,0.2164,0.2892,0.1328,0.081,0.4083,0.0478,0.3916,2,3,1,0.4508,0
5,24,8,14,41.18,0.4238,0.5499,0.1619,0.039,0.4304,0.232,0.1268,0.415,0.2391,0.5217,0.524,0.5627,0.7359,1,4,4,0.3585,3
7,39,19,16,68.06,0.4233,0.5337,0.3332,0.2944,0.093,0.3372,0.1467,0.1698,0.2824,0.6429,0.4675,0.6835,0.5176,2,2,9,0.4953,3
5,42,12,17,69.74,0.3728,0.3971,0.4209,0.2001,0.5849,0.4985,0.689,0.3532,0.8117,0.2637,0.4217,0.1682,0.7185,2,5,11,0.6571,2
6,36,11,19,63.52,0.5722,0.5749,0.2411,0.5592,0.6505,0.3464,0.622,0.4369,0.3911,0.1531,0.3921,0.5085,0.5291,2,1,9,0.4278,2
10,45,16,26,71.78,0.2475,0.6369,0.469,0.2028,0.2846,0.2298,0.8453,0.758,0.3861,0.1747,0.166,0.1149,0.5769,3,6,10,0.2917,2
8,36,10,15,64.57,0.3517,0.2033,0.2093,0.2803,0.3037,0.1387,0.5992,0.5799,0.2446,0.1693,0.3582,0.2869,0.4503,2,1,7,0.4481,2
12,55,16,29,37.76,0.5718,0.7014,0.5953,0.6746,0.3343,0.074,0.211,0.2745,0.1114,0.3262,0.2283,0.3717,0.3088,4,3,6,0.3923,0
11,41,16,21,43.54,0.4985,0.8119,0.772,0.3524,0.0713,0.1895,0.2642,0.0431,0.1322,0.196,0.1537,0.1264,0.4532,3,4,6,0.2402,0
11,26,13,13,31.14,0.5714,0.2378,0.5625,0.6503,0.6801,0.4353,0.1721,0.0653,0.3621,0.2895,0.1194,0.1889,0.2745,3,2,5,0.5446,1
12,52,4,26,66.74,0.4947,0.4295,0.3775,0.2048,0.4272,0.4778,0.51,0.6494,0.4035,0.3699,0.1245,0.0589,0.2491,3,4,11,0.6491,2
11,53,18,33,62.93,0.3207,0.0889,0.3013,0.2634,0.1314,0.5758,0.3694,0.9013,0.6298,0.3605,0.3303,0.5645,0.4067,4,2,8,0.2533,2
6,33,16,26,50.51,0.2275,0.3276,0.3458,0.0363,0.0876,0.2288,0.1503,0.2273,0.1458,0.4766,0.7324,0.7085,0.6512,2,2,4,0.4883,3
12,57,17,25,84.48,0.4431,0.2314,0.3206,0.3798,0.1538,0.3425,0.3086,0.3779,0.2575,0.8032,0.7172,0.4385,0.4658,3,6,12,0.5472,3
12,46,15,28,62.62,0.5975,0.6233,0.1949,0.4823,0.1416,0.3045,0.3715,0.3853,0.016,0.7879,0.4567,0.3137,0.5738,3,4,10,0.1787,3
7,27,7,11,95.0,0.094,0.0739,0.1912,0.1882,0.2228,0.3449,0.7298,0.7003,0.2919,0.7264,0.3704,0.121,0.4514,2,1,12,0.6657,2
5,18,8,15,41.26,0.5866,0.5215,0.519,0.0814,0.218,0.1335,0.2829,0.5194,0.3982,0.2398,0.0303,0.0905,0.5822,1,2,7,0.3651,2
12,48,20,25,46.93,0.4665,0.2146,0.2007,0.4419,0.2076,0.5788,0.2526,0.2464,0.2966,0.1591,0.1348,0.0514,0.5607,3,2,6,0.1184,1
9,42,19,28,40.05,0.4911,0.6712,0.5375,0.4216,0.0647,0.3219,0.1123,0.1597,0.1671,0.5702,0.5126,0.4472,0.3595,3,5,5,0.5266,3
5,21,2,7,56.48,0.3469,0.1578,0.4709,0.1533,0.5032,0.0983,0.5911,0.4823,0.4413,0.1259,0.5628,0.0735,0.4846,1,1,8,0.3503,2
9,50,14,26,52.2,0.4887,0.2625,0.4426,0.5711,0.3782,0.6101,0.2594,0.0282,0.1036,0.5343,0.6467,0.2535,0.6252,3,3,7,0.2455,1
9,49,15,21,43.1,0.2953,0.3694,0.1195,0.2901,0.3507,0.3465,0.2981,0.3848,0.2945,0.5081,0.5706,0.2227,0.5496,3,4,6,0.6194,3
10,51,20,31,53.46,0.4285,0.1858,0.1108,0.7226,0.5456,0.3866,0.244,0.1768,0.2817,0.5596,0.4282,0.3248,0.405,4,3,4,0.2598,1
11,24,12,15,89.54,0.3414,0.2448,0.105,0.2599,0.2625,0.0576,0.8854,0.5382,0.3641,0.516,0.0318,0.2161,0.5677,3,5,13,0.5755,2
8,46,13,23,60.81,0.2441,0.0331,0.3162,0.1767,0.0529,0.4804,0.2957,0.2488,0.5068,0.7467,0.6811,0.3555,0.387,2,2,10,0.4016,3
11,45,19,23,48.22,0.5079,0.1604,0.4127,0.5339,0.5386,0.4524,0.4386,0.4971,0.1139,0.2616,0.0315,0.3666,0.3423,3,5,7,0.3161,1
11,54,13,27,69.57,0.5748,0.5202,0.7627,0.3723,0.4096,0.3196,0.5636,0.7722,0.3255,0.304,0.0952,0.4528,0.4463,4,4,7,0.2819,2
9,51,21,26,50.21,0.4921,0.5724,0.6603,0.1942,0.2573,0.2741,0.4081,0.3856,0.3533,0.2333,0.156,0.1138,0.5849,4,3,5,0.4947,0
12,52,20,32,43.35,0.5348,0.1935,0.1549,0.5311,0.6409,0.6602,0.2517,0.1453,0.401,0.3059,0.3128,0.53,0.3562,4,3,8,0.1934,1
12,45,18,24,59.77,0.4234,0.3072,0.3331,0.7284,0.4057,0.469,0.484,0.4857,0.4577,0.4858,0.1246,0.2226,0.4776,4,3,9,0.2497,2
5,38,8,22,89.54,0.4198,0.103,0.206,0.2642,0.3207,0.1203,0.7893,0.6115,0.6182,0.5377,0.2184,0.2721,0.5282,2,3,13,0.5926,2
11,40,14,20,66.45,0.3811,0.1939,0.378,0.3304,0.2656,0.216,0.689,0.2628,0.3995,0.3525,0.0327,0.1302,0.0968,2,2,9,0.4869,2
5,26,10,14,50.09,0.5944,0.6166,0.4885,0.4036,0.321,0.1218,0.1369,0.3818,0.2574,0.3838,0.3901,0.2802,0.397,2,3,8,0.659,0
11,37,15,18,65.02,0.419,0.3255,0.1348,0.4492,0.2331,0.2314,0.6892,0.4761,0.5223,0.3524,0.156,0.4311,0.4735,3,4,8,0.507,2
6,34,10,17,58.04,0.4224,0.0932,0.1298,0.2744,0.5373,0.296,0.4452,0.6774,0.8112,0.5434,0.3685,0.0556,0.5265,2,4,9,0.399,2
11,43,16,27,53.3,0.5244,0.5446,0.2432,0.6352,0.3944,0.7528,0.1226,0.2209,0.2732,0.4553,0.3472,0.547,0.574,3,6,9,0.7028,1
11,34,10,16,55.09,0.4304,0.6426,0.5893,0.3096,0.7035,0.4276,0.4089,0.2698,0.3711,0.2549,0.5143,0.4555,0.6504,3,4,8,0.5092,0
6,32,11,16,76.48,0.3346,0.4855,0.5317,0.172,0.2108,0.1389,0.8518,0.5476,0.2041,0.3331,0.2321,0.0809,0.2677,2,2,9,0.2417,2
11,46,23,28,40.04,0.4752,0.2346,0.2318,0.6888,0.6604,0.2321,0.2492,0.0676,0.4007,0.5011,0.2652,0.1782,0.4085,4,2,6,0.1938,1
11,46,19,30,44.93,0.7087,0.5949,0.1904,0.9215,0.6634,0.4476,0.3023,0.2593,0.3412,0.4522,0.2363,0.4062,0.6349,4,6,6,0.3875,1
6,16,8,9,42.12,0.3068,0.2526,0.2685,0.3143,0.1396,0.3202,0.0994,0.0901,0.1028,0.4571,0.3453,0.5869,0.3686,2,3,7,0.3609,3
11,46,15,26,82.25,0.3833,0.3951,0.457,0.269,0.5635,0.228,0.6545,0.6624,0.3322,0.5849,0.0388,0.054,0.4464,3,6,9,0.3757,2
7,35,9,23,46.29,0.6487,0.4258,0.5247,0.3676,0.4752,0.4144,0.2869,0.1823,0.122,0.2536,0.059,0.2927,0.4977,2,1,7,0.5487,0
8,33,15,15,46.83,0.3908,0.3287,0.088,0.4292,0.1448,0.1351,0.064,0.1462,0.2082,0.8701,0.3986,0.1395,0.6864,2,3,7,0.3569,3
9,38,21,27,71.83,0.2763,0.0787,0.0883,0.3158,0.1882,0.3239,0.4958,0.2818,0.3998,0.4263,0.1552,0.4099,0.2749,3,1,9,0.2736,2
5,16,8,13,88.23,0.3919,0.5085,0.221,0.1851,0.1052,0.2873,0.7043,0.2359,0.6389,0.7031,0.6876,0.363,0.3948,1,0,10,0.3117,3
10,44,16,19,53.76,0.4537,0.2885,0.0828,0.0827,0.4321,0.4772,0.3535,0.4329,0.2151,0.6613,0.4156,0.2987,0.464,3,3,8,0.2019,3
10,44,13,22,67.25,0.4556,0.1138,0.0922,0.6843,0.6809,0.8073,0.3424,0.2565,0.142,0.6399,0.3255,0.307,0.3948,3,2,9,0.2451,1
9,40,21,17,75.03,0.5025,0.362,0.5224,0.3389,0.253,0.7852,0.4576,0.6397,0.3198,0.4048,0.2451,0.1995,0.4676,3,3,10,0.5057,2
5,47,9,24,54.91,0.3911,0.492,0.8496,0.2835,0.1825,0.2881,0.4271,0.6486,0.1399,0.1855,0.437,0.0519,0.6173,2,3,9,0.6342,0
12,51,14,21,77.35,0.4004,0.1772,0.6034,0.2337,0.5028,0.4873,0.391,0.1851,0.3252,0.9072,0.6199,0.7922,0.385,3,2,10,0.6785,3
5,18,4,5,58.98,0.5279,0.4885,0.7387,0.1605,0.4592,0.1919,0.1112,0.5633,0.2348,0.4228,0.0491,0.1793,0.5361,1,2,11,0.4958,0
12,19,18,22,47.62,0.6253,0.8688,0.548,0.1914,0.5096,0.17,0.2438,0.2649,0.3863,0.2467,0.2494,0.1669,0.3107,3,4,4,0.1082,0
8,33,16,17,61.6,0.4821,0.0682,0.4499,0.6954,0.4569,0.5783,0.3725,0.392,0.5615,0.2372,0.3235,0.364,0.1401,3,2,8,0.7161,1
11,47,17,27,69.06,0.3046,0.1461,0.4181,0.9104,0.613,0.2532,0.3533,0.2662,0.3912,0.5371,0.3257,0.0301,0.5399,4,4,7,0.5164,1
8,40,18,28,40.69,0.664,0.8186,0.1949,0.4813,0.4411,0.5682,0.3408,0.3781,0.2183,0.0178,0.2237,0.0608,0.5812,3,3,5,0.582,1
5,26,7,17,58.48,0.5896,0.4186,0.1634,0.5297,0.3707,0.7316,0.1207,0.6265,0.4376,0.4489,0.1649,0.1944,0.4223,2,2,10,0.4298,1
5,39,11,25,41.25,0.5735,0.4426,0.2583,0.229,0.7465,0.3306,0.2929,0.375,0.222,0.2974,0.5537,0.0931,0.5206,2,3,8,0.3928,1
10,23,4,9,53.08,0.2479,0.2649,0.1308,0.1325,0.0222,0.2593,0.2456,0.5516,0.3466,0.5527,0.5359,0.8611,0.3233,2,1,5,0.1684,3
8,32,8,17,61.68,0.2857,0.5964,0.3924,0.497,0.0454,0.0281,0.5766,0.3592,0.462,0.281,0.2654,0.2157,0.5809,2,2,9,0.2617,2
10,28,16,19,58.33,0.5363,0.7079,0.6643,0.2663,0.4188,0.4287,0.3264,0.5759,0.2157,0.3732,0.3151,0.0919,0.4719,3,4,7,0.4994,0
12,36,22,20,50.55,0.6125,0.8134,0.5752,0.4512,0.255,0.2284,0.2776,0.3675,0.2763,0.1809,0.0907,0.3234,0.6138,3,3,10,0.5297,0
8,45,21,26,46.37,0.4582,0.4045,0.3218,0.4468,0.0317,0.106,0.1252,0.4762,0.3954,0.6246,0.6059,0.706,0.6695,3,3,6,0.4212,3
7,31,16,15,95.0,0.1699,0.4222,0.2672,0.3739,0.0518,0.2588,0.8591,0.4712,0.2604,0.5934,0.3052,0.1501,0.2426,3,5,12,0.621,2
9,43,14,18,38.12,0.5243,0.4295,0.173,0.4611,0.5616,0.7422,0.4567,0.2111,0.3594,0.1235,0.3689,0.0902,0.5216,3,3,4,0.5852,1
8,29,6,18,52.25,0.2598,0.4612,0.3188,0.0711,0.0545,0.3943,0.6242,0.2751,0.5351,0.1108,0.0988,0.1498,0.4994,2,5,8,0.4831,2
9,37,18,24,80.26,0.3723,0.4819,0.3822,0.0698,0.5611,0.2631,0.3878,0.4793,0.3031,0.7379,0.6311,0.7364,0.4866,3,4,10,0.5849,3
9,57,14,30,56.0,0.519,0.6674,0.5192,0.4147,0.4369,0.2701,0.3758,0.3255,0.11,0.1308,0.1378,0.0441,0.5867,3,2,11,0.2285,0
12,30,16,15,41.72,0.3875,0.2124,0.4294,0.5713,0.4284,0.3624,0.3884,0.4544,0.4272,0.1041,0.2228,0.0302,0.201,3,4,4,0.2832,2
8,22,17,19,47.39,0.4353,0.4607,0.594,0.2914,0.6246,0.2846,0.44,0.3445,0.1653,0.3177,0.2156,0.3086,0.7493,3,6,5,0.5454,0
